id,nazwa,dlugosc,szerokosc
174,Limanowskiego / Toruńska,21.11960,51.38136
175,Toruńska / Limanowskiego,21.12106,51.38124
176,Toruńska / Wierzbicka,21.12741,51.37941
177,Wierzbicka / Toruńska,21.12910,51.37983
178,Wjazdowa / Wierzbicka,21.13005,51.37896
179,Wierzbicka / Toruńska,21.12840,51.37862
180,Wierzbicka / Szkoła (NŻ),21.12798,51.37688
181,Wierzbicka / Czarnoleska,21.12588,51.37247
182,Wierzbicka / Warsztatowa,21.12352,51.36675
183,Czarnoleska / Wierzbicka,21.12890,51.37273
184,Czarnoleska / Urszuli,21.13205,51.37163
186,Wierzbicka / Tartaczna,21.13048,51.38515
187,1905 Roku / Obrońców,21.13494,51.39004
188,1905 Roku / Tytoniowa,21.13955,51.39067
189,1905 Roku / Kościuszki,21.14631,51.39146
190,Poniatowskiego / Dworzec PKP,21.15357,51.39165
191,Dworzec PKP,21.15457,51.39137
193,PCK / Grzecznarowskiego,21.15410,51.38704
194,PCK / Grzecznarowskiego,21.15184,51.38679
195,Młodzianowska / Gazowa,21.14799,51.38353
196,Wiejska / Bukietowa,21.15046,51.37495
198,Wiejska / Rolnicza,21.14813,51.36502
200,Grzecznarowskiego / Śląska,21.15806,51.38599
201,Jana Pawła II / Grzecznarowskiego,21.15940,51.38362
202,Grzecznarowskiego / Jana Pawła II (NŻ),21.16300,51.38338
